id,commercial_name,active,inscription_date,registry_num,formula,active_ingredient,pharma_comp,pharmaceutical_form,concentration,level_price,range_price,min_presentation_price,max_presentation_price,created_at,updated_at,hash
2239,SOLUCION INYECTABLE DE DEXTROSA AL 5% Y CLORURO DE SODIO AL 0.9%,A,1979-10-23,11131,Cloruro de sodio 0.9 g. + DEXTROSA 5 g.,Cloruro de sodio + DEXTROSA,"LABORATORIOS BIOGALENIC, S.A. DE C.V.",SOLUCION INYECTABLE,0.9 g. + 5 g.,0.01,$2.00 - $3.14,2,3.14,2019-12-17 17:41:31,2019-12-17 17:41:31,ee0e91ccf05d44ea7d94eb1bbe876d01
2240,CETAMOL 120 mg/5 mL  JARABE,A,1978-09-25,11163,Acetaminofén 120 mg.,Acetaminofén,LABORATORIO FARMACEUTICO VIDES,JARABE,120 mg.,0.08,$4.98 - $4.98,4.98,4.98,2019-12-17 17:41:31,2019-12-17 17:41:31,196984b0b8884ffa987f9f645def4f78
2241,GANOL® 500 TABLETA,A,1979-12-21,11204,Paracetamol 500 mg.,Paracetamol,LABORATORIO FARMACEUTICO VIDES,TABLETAS,500 mg.,0.38,$2.28 - $8.41,2.28,8.41,2019-12-17 17:41:31,2019-12-17 17:41:31,e4759cd29c0762680649e90a0e38965f
2242,ALUGEL COMPUESTO SUSPENSION,A,1979-10-29,11230,Hidróxido de Magnesio 4 g. + Hidróxido de Magnesio 4 g. + Hidróxido de Aluminio 3.7 g. + Hidróxido de Aluminio 3.7 g. + Dimeticona 0.5 g. + Dimeticona 0.5 g.,Hidróxido de Magnesio + Hidróxido de Magnesio + Hidróxido de Aluminio + Hidróxido de Aluminio + Dimeticona + Dimeticona,LABORATORIOS RADON,SUSPENSION,4 g. + 4 g. + 3.7 g. + 3.7 g. + 0.5 g. + 0.5 g.,0.04,$9.24 - $9.35,9.24,9.35,2019-12-17 17:41:31,2019-12-17 17:41:31,c198d71c63341b2e48b051d6f91ff2d2
2243,VITA-SIL E. VITAMINA E 400 U.I. CAPSULAS,A,1980-03-04,11275,VITAMINA E ACETATO 400 UI + Aceite de soya 25 mg.,VITAMINA E ACETATO + Aceite de soya,"LABORATORIOS FARMACEUTICO FARMACAP, S.A.",CAPSULA,400 UI + 25 mg.,0.27,$8.23 - $8.23,8.23,8.23,2019-12-17 17:41:31,2019-12-17 17:41:31,a716b21524f168d20ba8ff0025707b9e
2244,VITA-SIL A VITAMINA A 10.000 UI  CAPSULAS,A,1980-03-04,11276,Aceite de soya 165 mg. + VITAMINA A PALMITATO 6 mg.,Aceite de soya + VITAMINA A PALMITATO,"FARMACAPS, S.A.",CAPSULA,165 mg. + 6 mg.,0.18,$7.21 - $7.44,7.21,7.44,2019-12-17 17:41:31,2019-12-17 17:41:31,6e40371a9fd9102454258328e431fe62
2245,VITA-SIL M MULTIVITAMINICO CON SALES MINERALES CAPSULAS,A,1980-03-04,11277,VITAMINA B12  5 mg. + VITAMINA C 150 mg. + HIERRO  10 mg. + Magnesio 5.5 mg. + MANGANESO 1 mg. + POTASIO 5 mg. + CALCIO 103 mg. + FOSFORO 80 mg. + VITAMINA D 400 UI + VITAMINA B1 10 mg. + VITAMINA B6 1 mg. + VITAMINA B2 5 mg. + ZINC 1.4 mg. + VITAMINA A 10000 UI + NIACINAMIDA 100 mg.,VITAMINA B12  + VITAMINA C + HIERRO  + Magnesio + MANGANESO + POTASIO + CALCIO + FOSFORO + VITAMINA D + VITAMINA B1 + VITAMINA B6 + VITAMINA B2 + ZINC + VITAMINA A + NIACINAMIDA,PHARMACAPS S.A.,CAPSULA,5 mg. + 150 mg. + 10 mg. + 5.5 mg. + 1 mg. + 5 mg. + 103 mg. + 80 mg. + 400 UI + 10 mg. + 1 mg. + 5 mg. + 1.4 mg. + 10000 UI + 100 mg.,0.26,$7.88 - $7.88,7.88,7.88,2019-12-17 17:41:31,2019-12-17 17:41:31,b3765145216c88654328d3c60fc84ece
2246,VITASIL AD CAPSULAS,A,1980-05-06,11331,Colecalciferol 9.25 mg. + ACEITE DE HIGADO DE BACALAO 300 mg. + VITAMINA A 5.706 mg.,Colecalciferol + ACEITE DE HIGADO DE BACALAO + VITAMINA A,LABORATORIOS FARMACAPS,CAPSULA,9.25 mg. + 300 mg. + 5.706 mg.,0.15,$4.61 - $4.61,4.61,4.61,2019-12-17 17:41:31,2019-12-17 17:41:31,b73d090e9d52c55e3a40528c946d501e
2247,TETRACICLINA MK 500 mg CAPSULA,A,1980-06-03,11398,TETRACICLINA CLORHIDRATO 514.5 mg.,TETRACICLINA CLORHIDRATO,"CORPORACION BONIMA, S.A. DE C.V.",CAPSULA,514.5 mg.,0.09,$8.52 - $8.52,8.52,8.52,2019-12-17 17:41:31,2019-12-17 17:41:31,50cae9441b90240a192a437d310c8627
2302,CLOTEN 1%  CREMA,A,1981-11-20,12103,Clotrimazol 1 g. + Clotrimazol 1 g.,Clotrimazol + Clotrimazol,LABORATORIOS LAFAR,CREMA,1 g. + 1 g.,0.21,$3.51 - $3.60,3.51,3.6,2019-12-17 17:41:33,2019-12-17 17:41:33,4380e986f4e55754e246b6fe5c25c0b3
2248,TIAMINA 300 ANCALMO TABLETAS ,A,1980-06-17,11429,CAFEINA ANHIDRA 80 mg. + Tiamina 300 mg.,CAFEINA ANHIDRA + Tiamina,LABORATORIO ANCALMO,TABLETAS,80 mg. + 300 mg.,0.08,$8.22 - $8.22,8.22,8.22,2019-12-17 17:41:31,2019-12-17 17:41:31,6cf8ef0a055ae20126b281c3e196eb43
2249,DOXIUM 500 mg CAPSULAS,A,1980-04-09,11456,Dobesilato de calcio 500 mg.,Dobesilato de calcio,OM PHARMA S.A.,CAPSULAS,500 mg.,0.86,$29.27 - $74.27,29.27,74.27,2019-12-17 17:41:31,2019-12-17 17:41:31,6936e64d2683aa6ce4e16c8897e09a32
2250,ETALPHA LEO 1 mcg CAPSULAS,A,1980-04-08,11458,ALFACALCIDOL 1 mcg.,ALFACALCIDOL,LEO PHARMA A/S.,CAPSULA,1 mcg.,1.2,$52.48 - $64.33,52.48,64.33,2019-12-17 17:41:31,2019-12-17 17:41:31,e56ea4fdfc87d9cc36576919775e00da
2251,ETALPHA LEO 0.25 mcg  CAPSULAS ,A,1980-07-29,11459,ALFACALCIDOL 0.25 mcg.,ALFACALCIDOL,LEO PHARMA A/S.,CAPSULA,0.25 mcg.,2,$24.07 - $32.02,24.07,32.02,2019-12-17 17:41:31,2019-12-17 17:41:31,27b4f2d038a92bea211fb23bb16f925f
2252,"PEN DI BEN 2,400,000 U.I. POLVO PARA SUSPENSION INYECTABLE",A,1980-05-20,11499,PENICILINA G BENZATINICA 2400000 UI + LIDOCAINA CLORHIDRATO 35 mg.,PENICILINA G BENZATINICA + LIDOCAINA CLORHIDRATO,"LABORATORIOS BAGÓ, S.A.",POLVO PARA SUSPENSION INYECTABLE,2400000 UI + 35 mg.,6.45,$6.45 - $6.45,6.45,6.45,2019-12-17 17:41:31,2019-12-17 17:41:31,4381ba8e799f1468418ad8f84f0d1d11
2253,"PEN DI BEN 1,200.000 U.I POLVO PARA SUSPENSION  INYECTABLE",A,1980-04-08,11500,PENICILINA G BENZATINICA 1200000 UI,PENICILINA G BENZATINICA,"LABORATORIOS BAGÓ, S.A.",POLVO PARA SUSPENSION INYECTABLE,1200000 UI,6.1,$6.10 - $6.10,6.1,6.1,2019-12-17 17:41:31,2019-12-17 17:41:31,5a4c3d8f50aaf0465bf79acaa4cadb0d
2254,ATLANSIL 150 mg INYECTABLE,A,1980-08-12,11506,AMIODARONA CLORHIDRATO 150 mg.,AMIODARONA CLORHIDRATO,ACROMAX LABORATORIO QUIMICO FARMACEUTICO S.A,INYECTABLE,150 mg.,0.64,$11.46 - $11.46,11.46,11.46,2019-12-17 17:41:31,2019-12-17 17:41:31,6e560b5848873f17e17447d49de9c68b
2255,BABY CARE,A,1980-08-26,11522,Óxido de zinc 13 g. + Colecalciferol 0.488 g. + Cloruro de benzalconio 0.488 g. + Almidones 63.52 g. + VITAMINA A PALMITATO 2.932 g.,Óxido de zinc + Colecalciferol + Cloruro de benzalconio + Almidones + VITAMINA A PALMITATO,LABORATORIO FARMACEUTICO FARDEL,CREMA,13 g. + 0.488 g. + 0.488 g. + 63.52 g. + 2.932 g.,0.29,$4.99 - $7.38,4.99,7.38,2019-12-17 17:41:31,2019-12-17 17:41:31,617ccd258b102a29fb63d3a9ec02e97f
2256,GRISFULVIN-REAL  500 mg  TABLETAS ,A,1980-08-26,11525,GRISEOFULVINA  500 mg.,GRISEOFULVINA ,LABORATORIO FARMACEUTICO FARDEL,TABLETAS,500 mg.,0.33,$6.63 - $6.63,6.63,6.63,2019-12-17 17:41:31,2019-12-17 17:41:31,8e951f5f8e35f511b135edaaf9988089
2257,NIACIN-FORD 100 mg TABLETAS,A,1980-10-07,11575,ACIDO NICOTINICO 100 mg.,ACIDO NICOTINICO,PARETO D/B/A FORD LABORATORIES INC,TABLETAS,100 mg.,0.13,$12.90 - $12.90,12.9,12.9,2019-12-17 17:41:31,2019-12-17 17:41:31,d863c981c418bb42cdcf732d05738195
2258,THERIMIN M FORD TABLETAS,A,1980-10-21,11597,POTASIO 7.5 mg. + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) 10 mg. + VITAMINA B12 (CIANOCOBALAMINA) 6 mcg. + Ácido fólico 30 mcg. + VITAMINA C 90 mg. + NIACINA 20 mg. + HIERRO  27 mg. + Magnesio 100 mg. + MANGANESO 5 mg. + SELENIUM 10 mcg. + Cromo 15 mcg. + COBRE 2 mg. + CALCIO 5 mg. + DL-Alfa tocoferil acetato 30 UI + FOSFORO 31 mg. + VITAMINA B6 (PIRIDOXINA) 3 mg. + VITAMINA D 400 UI + VITAMINA B1 (TIAMINA CLORHIDRATO) 3 mg. + YODURO 150 mcg. + D-BIOTINA 30 mcg. + VITAMINA B2 (RIVOFLAVINA) 3.4 mg. + VITAMINA A 5000 UI,POTASIO + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) + VITAMINA B12 (CIANOCOBALAMINA) + Ácido fólico + VITAMINA C + NIACINA + HIERRO  + Magnesio + MANGANESO + SELENIUM + Cromo + COBRE + CALCIO + DL-Alfa tocoferil acetato + FOSFORO + VITAMINA B6 (PIRIDOXINA) + VITAMINA D + VITAMINA B1 (TIAMINA CLORHIDRATO) + YODURO + D-BIOTINA + VITAMINA B2 (RIVOFLAVINA) + VITAMINA A,PARETO D/B/A FORD LABORATORIES INC,TABLETAS,7.5 mg. + 10 mg. + 6 mcg. + 30 mcg. + 90 mg. + 20 mg. + 27 mg. + 100 mg. + 5 mg. + 10 mcg. + 15 mcg. + 2 mg. + 5 mg. + 30 UI + 31 mg. + 3 mg. + 400 UI + 3 mg. + 150 mcg. + 30 mcg. + 3.4 mg. + 5000 UI,0.23,$22.53 - $22.53,22.53,22.53,2019-12-17 17:41:31,2019-12-17 17:41:31,805d61d04a35bc1b6140215cb645a628
2259,VITAMINA E NATURAL FORD CAPSULAS,A,1980-10-28,11599,D-Alfa tocoferol 400 UI,D-Alfa tocoferol,PARETO D/B/A FORD LABORATORIES INC,TABLETA,400 UI,0.25,$25.06 - $25.06,25.06,25.06,2019-12-17 17:41:31,2019-12-17 17:41:31,b745c310c78ec21efb1ae16039f9630f
2260,SUPER POTENCIA STRESS FORD TABLETAS,A,1973-03-04,11600,VITAMINA B6 (PIRIDOXINA CLORHIDRATO) 5 mg. + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) 20 mg. + VITAMINA B12 (CIANOCOBALAMINA) 12 mcg. + BIOTINA  45 mcg. + Ácido fólico 400 mcg. + VITAMINA B1 (TIAMINA CLORHIDRATO) 15 mg. + VITAMINA B2 (RIVOFLAVINA) 10 mg. + VITAMINA C (ACIDO ASCORBICO) 500 mg. + NIACINAMIDA 100 mg. + VITAMINA E 30 UI,VITAMINA B6 (PIRIDOXINA CLORHIDRATO) + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) + VITAMINA B12 (CIANOCOBALAMINA) + BIOTINA  + Ácido fólico + VITAMINA B1 (TIAMINA CLORHIDRATO) + VITAMINA B2 (RIVOFLAVINA) + VITAMINA C (ACIDO ASCORBICO) + NIACINAMIDA + VITAMINA E,PARETO D/B/A FORD LABORATORIES INC,TABLETAS,5 mg. + 20 mg. + 12 mcg. + 45 mcg. + 400 mcg. + 15 mg. + 10 mg. + 500 mg. + 100 mg. + 30 UI,0.35,$20.76 - $20.76,20.76,20.76,2019-12-17 17:41:31,2019-12-17 17:41:31,91c0011e8cada54c449d585c29275da9
2261,"VITAMINA A NATURAL FORD 25,000 UI CAPSULAS",A,1980-10-21,11601,VITAMINA A 25000 UI,VITAMINA A,PARETO D/B/A FORD LABORATORIES INC,CAPSULAS,25000 UI,0.16,$15.87 - $15.87,15.87,15.87,2019-12-17 17:41:31,2019-12-17 17:41:31,3aa1010c811a3b7f0a893345b75df662
2262,"ROJAMINA FUERTE 50,000 SOLUCION INYECTABLE",A,1980-11-04,11617,Hierro amoniacal citrato 0.1 mg. + VITAMINA B12  5000 mcg. + VITAMINA B1 100 mg. + VITAMINA B6 50 mg.,Hierro amoniacal citrato + VITAMINA B12  + VITAMINA B1 + VITAMINA B6,LABORATORIO FERSON,SOLUCION INYECTABLE,0.1 mg. + 5000 mcg. + 100 mg. + 50 mg.,1.42,$6.75 - $7.89,6.75,7.89,2019-12-17 17:41:31,2019-12-17 17:41:31,31979306d46c35ab76280ffd24a33beb
2263,CATAPLASMINE UNGÜENTO,A,1980-11-04,11622,SALICILATO DE METILO 0.26 g. + Guayacol 0.26 g. + CREOSOTA VEGETAL DE LA HAYA 1.302 g.,SALICILATO DE METILO + Guayacol + CREOSOTA VEGETAL DE LA HAYA,LABORATORIOS RADON,UNGUENTO,0.26 g. + 0.26 g. + 1.302 g.,0.05,$2.97 - $2.97,2.97,2.97,2019-12-17 17:41:31,2019-12-17 17:41:31,78762f9d6665e3cd5cc4016dd3419922
2264,ALERDES 0.12/0.05% SOLUCION OFTALMICA,A,1980-11-04,11634,ANTAZOLINA FOSFATO  0.12 g. + ANTAZOLINA FOSFATO  0.12 g. + NAFAZOLINA CLORHIDRATO 0.05 g. + NAFAZOLINA CLORHIDRATO 0.05 g.,ANTAZOLINA FOSFATO  + ANTAZOLINA FOSFATO  + NAFAZOLINA CLORHIDRATO + NAFAZOLINA CLORHIDRATO,LABORATORIOS LOPEZ,SOLUCION OFTALMICA,0.12 g. + 0.12 g. + 0.05 g. + 0.05 g.,0.97,$7.15 - $7.32,7.15,7.32,2019-12-17 17:41:31,2019-12-17 17:41:31,c3eed78823352dc2918ec0cc6393557f
2265,SUPER C NATURAL CON BIOFLAVONOIDES RUTIN-ACEROLA FORD TABLETAS,A,1980-12-12,11649,VITAMINA C 500 mg.,VITAMINA C,PARETO D/B/A FORD LABORATORIES INC,TABLETAS,500 mg.,0.27,$26.66 - $26.66,26.66,26.66,2019-12-17 17:41:31,2019-12-17 17:41:31,f38f703e7de23340ad4c4b1d8672bd42
2266,TENORETIC 100/25 mg TABLETAS ,A,1980-12-02,11667,Atenolol 100 mg. + Clortalidona 25 mg.,Atenolol + Clortalidona,ASTRAZENECA S.A. DE C.V.,TABLETAS,100 mg. + 25 mg.,,,,,2019-12-17 17:41:32,2019-12-17 17:41:32,f9c3ad60155d856abc4b5e70f36fd32f
2286,OTOFER 50mg-15mg/mL SOLUCION OTICA,A,1981-04-28,11852,ANTIPIRINA (FENAZONA) 50 mg. + Benzocaína 15 mg.,ANTIPIRINA (FENAZONA) + Benzocaína,LABORATORIO FERSON,SOLUCION OTICA,50 mg. + 15 mg.,0.39,$6.68 - $6.84,6.68,6.84,2019-12-17 17:41:32,2019-12-17 17:41:32,18f46d4b0acac6021679ebc9b93ca81c
2267,GERI-VITE ALTA POTENCIA FORD TABLETAS,A,1980-12-02,11676,"VITAMINA B6 (PIRIDOXINA CLORHIDRATO) 2 N/A + NIQUEL 5 mcg. + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) 10 mg. + VITAMINA B12 (CIANOCOBALAMINA) 6 mcg. + Ácido fólico 400 mcg. + NIACINA 20 mg. + HIERRO  18 mg. + Magnesio 100 mg. + MANGANESO 37.5 mg. + POTASIO 34.5 mg. + ESTAÑO 10 mcg. + SELENIUM 15 mcg. + COBRE 2 mg. + Vanadio 10 mcg. + CALCIO 125 mg. + DL-Alfa tocoferil acetato 30 UI + FOSFORO 2.5 mg. + Fitomenadiona 25 mcg. + VITAMINA D 400 UI + VITAMINA B1 (TIAMINA CLORHIDRATO) 1.5 mg. + SILICIO 80 mcg. + YODURO 150 mcg. + D-BIOTINA 45 mcg. + CELULOSA MICROCRISTALINA, MALTODEXTRINA, CARRAGENINA, CLORIDO DE SODIO 15 mcg. + VITAMINA B2 (RIVOFLAVINA) 1.7 mg. + VITAMINA A 6000 UI + VITAMINA C (ACIDO ASCORBICO) 60 mg. + CROMO  15 mcg. + CINC 15 mg.","VITAMINA B6 (PIRIDOXINA CLORHIDRATO) + NIQUEL + ACIDO PANTOTENICO (COMO PANTOTENATO DE CALCIO) + VITAMINA B12 (CIANOCOBALAMINA) + Ácido fólico + NIACINA + HIERRO  + Magnesio + MANGANESO + POTASIO + ESTAÑO + SELENIUM + COBRE + Vanadio + CALCIO + DL-Alfa tocoferil acetato + FOSFORO + Fitomenadiona + VITAMINA D + VITAMINA B1 (TIAMINA CLORHIDRATO) + SILICIO + YODURO + D-BIOTINA + CELULOSA MICROCRISTALINA, MALTODEXTRINA, CARRAGENINA, CLORIDO DE SODIO + VITAMINA B2 (RIVOFLAVINA) + VITAMINA A + VITAMINA C (ACIDO ASCORBICO) + CROMO  + CINC",PARETO D/B/A FORD LABORATORIES INC,TABLETAS,2 N/A + 5 mcg. + 10 mg. + 6 mcg. + 400 mcg. + 20 mg. + 18 mg. + 100 mg. + 37.5 mg. + 34.5 mg. + 10 mcg. + 15 mcg. + 2 mg. + 10 mcg. + 125 mg. + 30 UI + 2.5 mg. + 25 mcg. + 400 UI + 1.5 mg. + 80 mcg. + 150 mcg. + 45 mcg. + 15 mcg. + 1.7 mg. + 6000 UI + 60 mg. + 15 mcg. + 15 mg.,0.31,$21.65 - $26.09,21.65,26.09,2019-12-17 17:41:32,2019-12-17 17:41:32,42e4abedc55b31755f8dad64553e882a
2268,SIGUEBIEM TOS/FLEMA,A,1981-12-16,11679,TIOCOL 378 mg. + EUCALIPTOL 65 mg. + EXTRACTO FLUIDO DE TOLU 63 mg. + MENTOL CRISTALIZADO 8.5 mg.,TIOCOL + EUCALIPTOL + EXTRACTO FLUIDO DE TOLU + MENTOL CRISTALIZADO,LABORATORIOS S&M,JARABE,378 mg. + 65 mg. + 63 mg. + 8.5 mg.,0.04,$4.26 - $4.26,4.26,4.26,2019-12-17 17:41:32,2019-12-17 17:41:32,46c3897856fe13e4843de99204261f55
2269,SALSODA FD EFERVECENTE POLVO,A,1980-12-16,11682,Bicarbonato de sodio 41 g. + ACIDO CITRICO 15 g. + SULFATO DE SODIO 20 g. + ACIDO TARTARICO 22 g. + SAL DE GRANO 2 g.,Bicarbonato de sodio + ACIDO CITRICO + SULFATO DE SODIO + ACIDO TARTARICO + SAL DE GRANO,LABORATORIO FARMACEUTICO FARDEL,POLVO,41 g. + 15 g. + 20 g. + 22 g. + 2 g.,,,,,2019-12-17 17:41:32,2019-12-17 17:41:32,e5a421ff3785db010c0a816c95ea2d33
2270,FASTUM 50 mg CAPSULAS,A,1980-12-02,11683,KETOPROFENO 50 mg.,KETOPROFENO,"LABORATORIOS MENARINI, SA",CAPSULA,50 mg.,0.69,$14.79 - $63.52,14.79,63.52,2019-12-17 17:41:32,2019-12-17 17:41:32,18826d2cf5935fadaff5b7c793cd40c1
2271,FUCIDIN LEO 2% CREMA,A,1980-12-02,11688,Ácido fusídico 20 mg.,Ácido fusídico,LEO LABORATORIES LTD.,CREMA,20 mg.,0.76,$14.54 - $15.50,14.54,15.5,2019-12-17 17:41:32,2019-12-17 17:41:32,e71e0f19be10db7b6d8c504278a0702a
2272,TROFERIT 0.3 g JARABE,A,1981-01-27,11698,DROPROPIZINA 0.3 g.,DROPROPIZINA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",JARABE,0.3 g.,0.11,$13.73 - $13.73,13.73,13.73,2019-12-17 17:41:32,2019-12-17 17:41:32,2eac0141fbfaa782e7fdea7c1809a2ff
2273,TROFERIT 20 mg SUPOSITORIOS,A,1981-01-27,11699,DROPROPIZINA 20 mg.,DROPROPIZINA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",SUPOSITORIO,20 mg.,2.38,$19.06 - $19.06,19.06,19.06,2019-12-17 17:41:32,2019-12-17 17:41:32,02510d4be1cc0e621b263fd12a014d04
2274,INDERAL 40 mg TABLETAS,A,2008-01-27,11713,Clorhidrato de propranolol 40 mg.,Clorhidrato de propranolol,ASTRAZENECA S.A. DE C.V.,TABLETAS,40 mg.,0.14,$6.90 - $6.90,6.9,6.9,2019-12-17 17:41:32,2019-12-17 17:41:32,5c1a0935d29fc99e227678f41521333a
2275,HELMITEX  100 mg/5mL  SUSPENSION,A,1981-01-27,11730,Mebendazol 100 mg.,Mebendazol,LABORATORIO FARMACEUTICO FARDEL,SUSPENSION,100 mg.,0.06,$1.89 - $1.89,1.89,1.89,2019-12-17 17:41:32,2019-12-17 17:41:32,d2601bfb88fb8d82e5f6af199e6bdfd4
2276,HELMITEX  100 mg TABLETAS,A,1981-01-27,11731,Mebendazol 100 mg.,Mebendazol,LABORATORIO FARMACEUTICO FARDEL,TABLETAS,100 mg.,0.36,$2.16 - $2.16,2.16,2.16,2019-12-17 17:41:32,2019-12-17 17:41:32,4d45c0e50a3da44cd861de76f36524d2
2277,BRONDEX  2.0 mg/5mL  JARABE,A,1981-01-27,11734,Sulfato de salbutamol 2 mg.,Sulfato de salbutamol,LABORATORIO FARMACEUTICO FARDEL,JARABE,2 mg.,0.03,$4.07 - $4.07,4.07,4.07,2019-12-17 17:41:32,2019-12-17 17:41:32,c09bd1ecb631b5165ca1336ed77f7599
2278,SIGUEBIEM tos/alergia,A,1981-01-27,11754,DEXTROMETORFANO BROMHIDRATO 10 mg. + Clorhidrato de fenilefrina 2 mg. + MENTOL CRISTALIZADO 0.5 mg. + CLORFENIRAMINA MALEATO 2 mg.,DEXTROMETORFANO BROMHIDRATO + Clorhidrato de fenilefrina + MENTOL CRISTALIZADO + CLORFENIRAMINA MALEATO,LABORATORIOS S&M,JARABE,10 mg. + 2 mg. + 0.5 mg. + 2 mg.,0.06,$5.00 - $5.19,5,5.19,2019-12-17 17:41:32,2019-12-17 17:41:32,0d56fd8269e10b55a6ebe856dc7d9e75
2279,MULTIVITAMINAS GRAGEAS ECOMED,A,2008-09-04,11785,Sulfato de cobalto 0.1 mg. + Vitamina A acetato 1200 UI + Pantotenato de calcio 2 mg. + VITAMINA D2 200 UI + Piridoxina clorhidrato 0.5 mg. + D-Alfa tocoferol 2 mg. + Tiamina clorhidrato 0.3 mg. + Cianocobalamina 0.3 mcg. + FLUORURO DE SODIO 0.01 mg. + Sulfato ferroso 5 mg. + Fosfato dicálcico 20 mg. + Sulfato de cobre pentahidratado 0.1 mg. + Riboflavina 0.5 mg. + YODURO DE POTASIO 0.002 mg.,Sulfato de cobalto + Vitamina A acetato + Pantotenato de calcio + VITAMINA D2 + Piridoxina clorhidrato + D-Alfa tocoferol + Tiamina clorhidrato + Cianocobalamina + FLUORURO DE SODIO + Sulfato ferroso + Fosfato dicálcico + Sulfato de cobre pentahidratado + Riboflavina + YODURO DE POTASIO,LABORATORIOS PHARMEDIC,GRAGEAS,0.1 mg. + 1200 UI + 2 mg. + 200 UI + 0.5 mg. + 2 mg. + 0.3 mg. + 0.3 mcg. + 0.01 mg. + 5 mg. + 20 mg. + 0.1 mg. + 0.5 mg. + 0.002 mg.,0.08,$13.42 - $20.16,13.42,20.16,2019-12-17 17:41:32,2019-12-17 17:41:32,25dbf4d5f1a3c5c13235962bc0a207e9
2280,COSMO-RUB UNGÜENTO,A,1981-03-10,11806,Alcanfor 1 g. + EUCALIPTOL 2 g. + SALICILATO DE METILO 12 g. + MENTOL CRISTALIZADO 1 g.,Alcanfor + EUCALIPTOL + SALICILATO DE METILO + MENTOL CRISTALIZADO,LABORATORIO FARMACEUTICO FARDEL,UNGUENTO,1 g. + 2 g. + 12 g. + 1 g.,,,,,2019-12-17 17:41:32,2019-12-17 17:41:32,27277144c46155f30230268059cf4de0
2281,TRANKIL 50  TABLETAS,A,1980-11-18,11825,DIFENHIDRAMINA CLORHIDRATO 50 mg.,DIFENHIDRAMINA CLORHIDRATO,LABORATORIOS PHARMEDIC,TABLETAS,50 mg.,,,,,2019-12-17 17:41:32,2019-12-17 17:41:32,a0df71d0cb1e573e090b422400d11713
2282,BACTICEL SUSPENSION,A,1981-04-28,11843,Sulfametoxazol 4 g. + Trimetoprim 0.8 g.,Sulfametoxazol + Trimetoprim,"LABORATORIOS BAGÓ, S.A.",SUSPENSION,4 g. + 0.8 g.,0.06,$6.87 - $6.87,6.87,6.87,2019-12-17 17:41:32,2019-12-17 17:41:32,3827c5f4e9f0094d203da9e4a66e53f8
2283,BACTICEL COMPRIMIDOS RECUBIERTOS,A,1981-04-28,11844,Sulfametoxazol 800 mg. + Trimetoprim 160 mg.,Sulfametoxazol + Trimetoprim,"LABORATORIOS BAGÓ, S.A.",COMPRIMIDO RECUBIERTO,800 mg. + 160 mg.,0.75,$9.00 - $9.00,9,9,2019-12-17 17:41:32,2019-12-17 17:41:32,02f82b125a655666d439e6cbc65c2481
2284,ENTERO-BACTICEL COMPRIMIDOS RECUBIERTOS,A,1981-04-28,11845,ATAPULGITA 200 mg. + Sulfametoxazol 400 mg. + Trimetoprim 80 mg.,ATAPULGITA + Sulfametoxazol + Trimetoprim,"LABORATORIOS BAGÓ, S.A.",COMPRIMIDO RECUBIERTO,200 mg. + 400 mg. + 80 mg.,0.58,$7.00 - $7.00,7,7,2019-12-17 17:41:32,2019-12-17 17:41:32,79291302b2992b93c93b9cd28a4e9109
2285,ENTERO-BACTICEL SUSPENSION,A,1981-04-28,11846,ATAPULGITA 2 g. + Sulfametoxazol 4 g. + Trimetoprim 0.8 g.,ATAPULGITA + Sulfametoxazol + Trimetoprim,"LABORATORIOS BAGÓ, S.A.",SUSPENSION,2 g. + 4 g. + 0.8 g.,0.16,$9.44 - $9.44,9.44,9.44,2019-12-17 17:41:32,2019-12-17 17:41:32,1d46aab6c558279f0ee44afefeda7171
2287,COMEVIT VITAMINADO JARABE,A,1981-03-24,11855,L-TRIPTOFANO 10 mg. + L-TRIPTOFANO 10 mg. + CIANOCOBALAMINA 0.1 mg. + CIANOCOBALAMINA 0.1 mg. + L-LISINA 150 mg. + L-LISINA 150 mg. + Ciproheptadina clorhidrato 2 mg. + Ciproheptadina clorhidrato 2 mg. + PIRIDOXINA 10 mg. + PIRIDOXINA 10 mg.,L-TRIPTOFANO + L-TRIPTOFANO + CIANOCOBALAMINA + CIANOCOBALAMINA + L-LISINA + L-LISINA + Ciproheptadina clorhidrato + Ciproheptadina clorhidrato + PIRIDOXINA + PIRIDOXINA,LABORATORIOS RADON,JARABE,10 mg. + 10 mg. + 0.1 mg. + 0.1 mg. + 150 mg. + 150 mg. + 2 mg. + 2 mg. + 10 mg. + 10 mg.,0.05,$4.56 - $15.90,4.56,15.9,2019-12-17 17:41:32,2019-12-17 17:41:32,0c234f58110f90d2bae940679dbc311b
